,BLND.csv,MNDI.csv,MKS.csv,NMC.csv,SLA.csv,RRS.csv,CCH.csv,SVT.csv,III.csv,BARC.csv,SBRY.csv,TSCO.csv,SGE.csv,IAG.csv,OML.csv,RR..csv,GKN.csv,RDSA.csv,BP..csv,DCC.csv,INF.csv,GSK.csv,MDC.csv,ITV.csv,LAND.csv,RB..csv,EZJ.csv,CNA.csv,AAL.csv,UU..csv
669,603.5,1884.0,346.9,2901.0,435.3,7435.0,2585.0,2137.0,945.5,195.45,246.4,187.5,734.0,657.0,195.3,934.0,319.0,2313.0,490.95,7205.0,683.0,1519.5,623.5,171.9,967.0,6600.0,1320.0,175.4,1444.0,840.5
670,606.0,1861.0,344.7,2890.0,433.8,7435.0,2577.0,2136.0,939.5,198.0,246.4,186.8,729.0,660.0,194.9,936.5,320.0,2343.0,496.25,7160.0,686.0,1512.5,609.5,172.1,962.5,6600.0,1290.0,172.3,1445.5,837.5
671,604.0,1834.0,342.7,2935.0,430.8,7330.0,2568.0,2077.0,943.0,197.0,244.2,185.55,736.0,667.5,190.4,939.0,315.4,2312.0,487.75,7110.0,686.0,1429.0,594.5,170.1,952.5,6580.0,1306.0,167.9,1415.0,818.5
672,594.5,1848.0,346.2,2885.0,439.2,7350.0,2570.0,2086.0,960.5,182.4,244.8,186.15,738.0,670.0,188.1,944.0,316.4,2308.0,490.0,7165.0,692.0,1380.0,592.5,168.3,950.5,6640.0,1315.0,169.9,1431.5,828.0
673,590.5,1866.0,346.2,2886.0,438.9,7410.0,2575.0,2098.0,946.0,183.8,243.0,185.5,738.0,623.5,188.5,964.5,320.7,2327.0,497.9,7200.0,686.0,1366.5,591.5,164.0,955.5,6845.0,1273.0,170.1,1418.5,830.0
674,591.0,1829.0,344.9,2877.0,431.5,7530.0,2543.0,2093.0,954.0,183.5,242.7,181.9,736.5,635.0,188.0,966.0,320.1,2346.0,501.6,7190.0,696.5,1372.5,586.0,165.7,957.0,6786.0,1298.0,169.0,1413.5,830.5
675,601.0,1821.0,344.1,2892.0,429.8,7395.0,2545.0,2111.0,961.0,185.95,242.5,181.4,745.5,636.0,191.0,973.0,317.0,2365.5,510.2,7140.0,697.0,1357.5,582.0,164.5,966.0,6735.0,1339.0,169.8,1420.0,833.0
676,593.0,1836.0,328.8,2895.0,432.9,7470.0,2537.0,2072.0,957.0,184.1,236.4,178.45,745.5,635.5,191.6,960.0,319.1,2359.5,514.0,7115.0,694.0,1351.5,577.0,162.0,952.5,6576.0,1349.0,165.8,1468.5,821.0
677,600.0,1842.0,329.3,2962.0,438.2,6930.0,2568.0,2100.0,963.0,185.0,237.0,179.6,745.0,631.0,194.9,965.0,321.0,2434.0,518.1,7145.0,692.5,1358.5,600.5,160.8,960.5,6582.0,1330.0,167.0,1496.0,827.0
678,600.5,1830.0,328.3,3089.0,435.4,6945.0,2638.0,2131.0,967.5,183.25,235.1,179.1,761.0,621.5,193.4,977.0,318.3,2435.0,516.8,7265.0,708.5,1361.0,595.0,159.8,958.0,6583.0,1314.0,167.7,1485.0,835.0
679,600.5,1835.0,331.1,3165.0,429.2,7020.0,2631.0,2185.0,959.0,182.0,234.3,176.55,764.0,619.5,192.9,981.0,323.4,2458.0,521.1,7290.0,709.0,1360.5,601.0,157.5,960.0,6546.0,1320.0,169.9,1508.0,840.0
